framenumber;pos_x;pos_y;cov_xx;cov_xy;cov_yy;landmark_id
13;-0.353306;-1.50254;0.00164742;4.29322e-05;0.00190587;10
13;-0.263834;-1.15867;0.00163333;2.12081e-05;0.00177938;6
13;0.411078;-1.06786;0.00163339;-2.46205e-05;0.00175547;1
14;0.056742;-2.95181;0.00169755;-1.31274e-05;0.00341316;9
14;0.497882;-1.42238;0.00164887;-4.83177e-05;0.00187488;7
14;-0.35225;-1.34951;0.00164199;3.55402e-05;0.00184332;10
14;-0.270365;-1.00647;0.00162931;1.76806e-05;0.00173852;6
14;0.423428;-0.925356;0.00162969;-2.08628e-05;0.00172105;1
15;-0.0307963;-2.77791;0.00168927;2.54186e-05;0.00309548;9
15;0.444209;-1.29012;0.00164159;-3.59847e-05;0.00182385;7
15;-0.400199;-1.18962;0.00163851;3.28639e-05;0.00178925;10
16;-0.0669389;-2.64524;0.00168366;3.54961e-05;0.0028911;9
16;0.431121;-1.14022;0.00163623;-2.86465e-05;0.00177574;7
16;-0.412893;-1.03212;0.00163397;2.74536e-05;0.0017452;10
17;1.48056;-2.71557;0.00200347;-0.000674783;0.00321847;11
17;-0.0820104;-2.52211;0.00167827;3.63653e-05;0.00272266;9
17;0.414464;-0.99873;0.00163149;-2.2593e-05;0.00173794;7
18;1.3625;-2.63204;0.00193459;-0.000566809;0.00305231;11
18;-0.208777;-2.38178;0.00167709;6.84944e-05;0.00255698;9
18;-1.8932;-2.081;0.00205334;0.000534085;0.00241204;12
19;1.30003;-2.52763;0.00189149;-0.000487547;0.00287969;11
19;-0.270707;-2.21277;0.00167267;7.31453e-05;0.00238299;9
19;-1.96142;-1.8778;0.00202569;0.000456938;0.00223099;12
20;1.25371;-2.40575;0.00185546;-0.000416893;0.00270397;11
20;-0.316221;-2.05933;0.00166834;7.21261e-05;0.00224843;9
21;1.18282;-2.27104;0.00181455;-0.000341483;0.00253064;11
21;-0.369137;-1.88553;0.00166379;6.94248e-05;0.00211977;9
22;1.02455;-2.19042;0.00176587;-0.000264773;0.00242449;11
22;-0.480881;-1.69584;0.00166264;7.31151e-05;0.00200532;9
23;0.853569;-2.11554;0.00172589;-0.000197156;0.00233391;11
23;-0.624625;-1.50963;0.00166449;7.73353e-05;0.00191417;9
24;0.611739;-2.0291;0.00168693;-0.000121905;0.0022393;11
24;-0.784534;-1.27271;0.00166527;7.41276e-05;0.00182137;9
25;0.255141;-1.96582;0.00165855;-4.17814e-05;0.0021741;11
25;-0.994319;-0.970624;0.00166585;6.47643e-05;0.00173575;9
26;2.72079;-3.16974;0.00325909;-0.00209389;0.00461436;15
26;2.14467;-1.81612;0.00207174;-0.000474538;0.00220674;14
26;-0.124149;-1.83214;0.00165131;2.45884e-05;0.00208001;11
26;1.35059;-0.963295;0.00169859;-8.9802e-05;0.00174386;13
27;2.17935;-3.33935;0.00274123;-0.00177774;0.00492174;15
27;1.84625;-1.92427;0.0019724;-0.000430533;0.00226609;14
27;-0.372581;-1.63207;0.00165328;5.26459e-05;0.00196845;11
27;1.19904;-0.997622;0.00168349;-8.04973e-05;0.00174844;13
28;1.7757;-3.43799;0.00241244;-0.00148612;0.00508245;15
28;1.62513;-1.97223;0.00190098;-0.000380972;0.00228451;14
28;-0.557858;-1.4281;0.00165573;6.21899e-05;0.00187694;11
28;1.09769;-0.980846;0.00167187;-7.01429e-05;0.00174193;13
29;0.0623067;-3.86288;0.001755;-3.30944e-05;0.00620761;16
29;1.46377;-3.4202;0.00217607;-0.00116837;0.00491139;15
29;1.45805;-1.97953;0.00184874;-0.000333022;0.00227328;14
29;-0.657079;-1.19005;0.00165163;5.48165e-05;0.0017917;11
29;1.02839;-0.910787;0.00166137;-5.83935e-05;0.00172418;13
30;-0.194135;-3.71855;0.00175779;0.000216206;0.00562754;16
30;1.23402;-3.36849;0.00202874;-0.000923506;0.00467584;15
30;1.33658;-1.91202;0.0018048;-0.000277691;0.00220502;14
30;-0.722132;-0.989848;0.00164688;4.6272e-05;0.00173677;11
31;-1.72544;-3.64942;0.00249979;0.0017259;0.00579514;17
31;-0.407702;-3.545;0.00177794;0.000368102;0.00502728;16
31;1.04016;-3.28358;0.00192227;-0.000712653;0.00437366;15
31;1.25058;-1.83006;0.00177355;-0.000233894;0.00213534;14
32;-1.90117;-3.43548;0.00256586;0.00165792;0.00510823;17
32;-0.567949;-3.38528;0.00179901;0.00044456;0.00455259;16
32;0.890433;-3.20511;0.00185477;-0.000562448;0.00412458;15
32;1.18063;-1.7368;0.00174835;-0.000196458;0.00206643;14
33;-1.95516;-3.27514;0.00254044;0.00152449;0.00463165;17
33;-0.618271;-3.20147;0.00179258;0.000415576;0.00405854;16
33;0.845354;-3.03505;0.00181897;-0.000460684;0.00370712;15
33;1.15658;-1.60382;0.00173027;-0.000164882;0.00198529;14
34;-0.633181;-3.06572;0.00178228;0.000379314;0.00373621;16
34;0.833183;-2.90993;0.00180086;-0.000406917;0.00344176;15
34;2.57102;-2.81814;0.00283839;-0.00149112;0.00368872;18
34;1.14885;-1.45543;0.00171501;-0.000137478;0.00190935;14
35;-2.00302;-3.01849;0.00246437;0.00129212;0.00396746;17
35;-0.625374;-2.93916;0.00176808;0.000335466;0.00346455;16
35;0.866808;-2.73736;0.00178989;-0.000365194;0.00313088;15
35;2.60569;-2.66406;0.00277729;-0.00134375;0.00338572;18
35;1.16812;-1.27355;0.00170184;-0.000112323;0.00183393;14
35;-1.01634;-0.908839;0.00166394;6.07915e-05;0.00172201;19
36;-1.99911;-2.88459;0.00240287;0.00115998;0.00366303;17
36;-0.639514;-2.82019;0.00175977;0.000308514;0.00323959;16
36;0.869268;-2.63021;0.00177867;-0.000332283;0.00295793;15
36;2.66088;-2.5479;0.00275917;-0.00125819;0.00318767;18
36;1.19056;-1.12272;0.00169228;-9.463e-05;0.00178338;14
37;-1.97908;-2.75931;0.00233633;0.00103504;0.00340341;17
37;-0.593111;-2.68311;0.00173884;0.00025184;0.00300017;16
37;0.934057;-2.43269;0.00177222;-0.000300254;0.00269026;15
37;1.21722;-0.907807;0.0016787;-7.22454e-05;0.00172742;14
38;-1.77728;-2.64739;0.0021662;0.000825474;0.00315611;17
38;-0.429957;-2.488;0.00170131;0.00015109;0.00270116;16
38;1.04982;-2.18977;0.00177138;-0.000272539;0.00242675;15
39;-3.02231;-3.00898;0.00358431;0.00216871;0.00424473;20
39;-1.55442;-2.62653;0.00204131;0.000689505;0.00307671;17
39;-0.22077;-2.3814;0.00167775;7.20208e-05;0.00255709;16
39;1.24428;-1.97021;0.00178988;-0.00026929;0.00224395;15
40;-2.63284;-3.19933;0.00322152;0.00207966;0.00463935;20
40;-1.22912;-2.66433;0.00190955;0.000541919;0.00307668;17
40;0.0583447;-2.24154;0.00166481;-6.89072e-06;0.00240584;16
40;1.48233;-1.64128;0.00180193;-0.000237436;0.00202703;15
41;-2.30654;-3.35748;0.00294;0.00197483;0.00500449;20
41;-0.953834;-2.64577;0.00181664;0.000401552;0.00299755;17
41;0.29172;-2.08899;0.00166517;-5.56072e-05;0.00227233;16
41;1.6572;-1.31316;0.00179368;-0.00018816;0.00186979;15
42;-1.92927;-3.39455;0.00257269;0.00163759;0.00498629;20
42;-0.668797;-2.55229;0.00174114;0.000251928;0.00281513;17
42;0.505732;-1.86232;0.00166838;-8.17628e-05;0.0021097;16
43;-1.56241;-3.43122;0.00228471;0.00132016;0.00497478;20
43;-0.401649;-2.46558;0.00169684;0.000138171;0.00266999;17
43;0.69807;-1.64465;0.00167349;-9.31341e-05;0.00198575;16
44;-1.21435;-3.46805;0.00207079;0.00102877;0.0049781;20
44;-0.147739;-2.36186;0.00167327;4.958e-05;0.00253246;17
44;0.867031;-1.41307;0.0016765;-9.19189e-05;0.00188003;16
45;-0.865303;-3.42487;0.00189803;0.00069801;0.00474098;20
45;-3.04248;-3.0088;0.00361313;0.00218795;0.00425059;21
45;0.0861663;-2.20223;0.00166349;-1.31529e-05;0.00236843;17
45;0.993367;-1.16035;0.00167336;-7.89803e-05;0.00179016;16
46;-0.551713;-3.38531;0.00179502;0.000432222;0.00454945;20
46;-2.76572;-3.16059;0.00336354;0.00215439;0.004573;21
46;-2.28942;-2.38461;0.0023961;0.000906773;0.00283988;22
46;0.283271;-2.05278;0.00166324;-5.17405e-05;0.00224214;17
46;1.11485;-0.885485;0.00166726;-6.2381e-05;0.00172032;16
47;-0.275221;-3.23971;0.00173313;0.000199866;0.00410067;20
47;-2.45988;-3.1609;0.00298618;0.00185545;0.00447295;21
47;-2.07166;-2.39457;0.00225475;0.000802978;0.00281683;22
47;0.451284;-1.84788;0.00166385;-7.06304e-05;0.00209791;17
48;-2.24663;-3.23743;0.00280187;0.00175344;0.00461942;21
48;-0.0151888;-3.10747;0.00170668;2.7287e-05;0.00375473;20
48;-1.90458;-2.42749;0.00216713;0.000742715;0.00283522;22
48;0.59119;-1.63567;0.00166399;-7.58665e-05;0.00197707;17
49;-1.98215;-3.23671;0.00254649;0.00150605;0.00453012;21
49;0.225202;-2.95579;0.00170481;-9.80499e-05;0.00343379;20
49;-1.71304;-2.38608;0.00205424;0.000626638;0.00274633;22
49;0.718011;-1.42262;0.00166348;-7.409e-05;0.00187981;17
50;0.196343;-3.68368;0.00174933;-0.000154604;0.00549489;23
50;-1.75297;-3.23617;0.00235709;0.00130229;0.00445526;21
50;0.427057;-2.78632;0.00171346;-0.000172342;0.0031436;20
50;-1.55909;-2.34518;0.00197468;0.000537466;0.00266916;22
50;0.81474;-1.20505;0.00166013;-6.56081e-05;0.00180077;17
51;0.427963;-3.52442;0.00176857;-0.000328111;0.00495772;23
51;-1.55271;-3.1624;0.0021915;0.00106981;0.00419652;21
51;0.604575;-2.60321;0.00172488;-0.000214097;0.00287705;20
51;-1.39829;-2.26152;0.00189569;0.000435306;0.0025454;22
51;0.896439;-0.982135;0.00165499;-5.45077e-05;0.00173862;17
52;0.633535;-3.33901;0.00179593;-0.000431937;0.00442655;23
52;-1.37203;-3.09265;0.00206628;0.000879931;0.00397165;21
52;0.752619;-2.3884;0.0017319;-0.000223543;0.00261109;20
52;-1.26807;-2.18221;0.00184027;0.000358595;0.00244216;22
53;0.794766;-3.16655;0.00182023;-0.000480354;0.00400419;23
53;-1.23009;-2.99338;0.00197401;0.000718443;0.0037066;21
53;0.862651;-2.1944;0.00173432;-0.000216325;0.00241059;20
53;-1.18017;-2.0662;0.00179939;0.000293279;0.00231888;22
54;0.923282;-3.0053;0.00183848;-0.000496055;0.00365936;23
54;-1.1259;-2.86915;0.0019072;0.000586778;0.00342463;21
54;0.957406;-1.99992;0.00173345;-0.000200781;0.00224229;20
54;-1.09843;-1.94118;0.00176485;0.000236813;0.00220442;22
55;0.998216;-2.79539;0.0018333;-0.000452414;0.00325821;23
55;-1.05733;-2.72479;0.00185926;0.000482781;0.00314597;21
55;-1.06784;-1.80675;0.00174395;0.000198372;0.00210262;22
55;0.99858;-1.79402;0.0017218;-0.00016964;0.00209178;20
56;-0.857113;-3.46478;0.00190093;0.000712947;0.00486343;24
56;-1.0024;-2.61771;0.00182673;0.00041339;0.00296191;21
56;1.05991;-2.60487;0.00182572;-0.000409223;0.00295213;23
56;-1.03432;-1.66924;0.00172446;0.000164013;0.00201327;22
56;1.05072;-1.58247;0.00171151;-0.000142517;0.00196818;20
57;-0.831509;-3.3094;0.00186875;0.000611838;0.00439363;24
57;-0.976973;-2.46716;0.00179995;0.000349469;0.00274147;21
57;1.09627;-2.43118;0.0018126;-0.000362759;0.00271247;23
57;-1.02783;-1.50177;0.00170846;0.000134103;0.00192365;22
57;1.07765;-1.41032;0.00170102;-0.000120042;0.00188611;20
58;1.08039;-3.69082;0.00201557;-0.00101187;0.00571419;25
58;-0.807687;-3.20039;0.00184593;0.000543716;0.00409646;24
58;-0.980415;-2.35003;0.00178642;0.000313741;0.00259408;21
58;1.1244;-2.29409;0.00180208;-0.000328202;0.00254895;23
58;-1.02797;-1.37569;0.00169804;0.000115164;0.00186711;22
58;1.07886;-1.25869;0.00168939;-9.95691e-05;0.00182568;20
59;1.06351;-3.47757;0.00196656;-0.000849007;0.0049609;25
59;-0.832173;-3.03074;0.00183138;0.000486796;0.00369815;24
59;-1.00014;-2.15651;0.00176838;0.000265137;0.00238641;21
59;1.10404;-2.10796;0.00177416;-0.000267029;0.00235238;23
59;-1.05673;-1.19301;0.00168733;9.43531e-05;0.00180002;22
59;1.05349;-1.06723;0.00167326;-7.50514e-05;0.00176377;20
60;-0.225298;-3.81003;0.00176863;0.000263221;0.00599329;26
60;1.05091;-3.35907;0.00193973;-0.000764902;0.00459193;25
60;-0.840382;-2.87468;0.00181405;0.000429927;0.00337715;24
60;-1.01378;-2.01986;0.00175612;0.000234186;0.00226222;21
60;1.09936;-1.97626;0.00175824;-0.000232085;0.00223541;23
60;-1.0704;-1.04321;0.00167786;7.83008e-05;0.00175558;22
60;1.04806;-0.908825;0.00166289;-5.96421e-05;0.0017241;20
61;-0.242529;-3.67369;0.0017605;0.000253686;0.00546176;26
61;1.05477;-3.21188;0.00191618;-0.000683735;0.00418513;25
61;-0.869675;-2.72984;0.00180428;0.000392058;0.00312055;24
61;-1.04711;-1.84133;0.00174369;0.00020127;0.00212536;21
61;1.08202;-1.78972;0.00173556;-0.000186529;0.00209457;23
61;-1.09551;-0.858699;0.00166764;6.17746e-05;0.00171298;22
62;-0.247718;-3.50489;0.0017486;0.00022669;0.00487445;26
62;1.04965;-3.04133;0.00188649;-0.000591546;0.00376918;25
62;-0.869695;-2.59604;0.00178842;0.000346974;0.00290751;24
62;-1.06223;-1.69697;0.00173179;0.000174614;0.00203134;21
62;1.07274;-1.63786;0.00171972;-0.000155845;0.00199981;23
63;1.01528;-2.91408;0.00185532;-0.000511415;0.0034891;25
63;-0.903111;-2.44622;0.00177928;0.00031408;0.00270352;24
63;-1.07042;-1.55185;0.00171926;0.000149258;0.00195043;21
63;1.05441;-1.48803;0.00170417;-0.000128184;0.0019207;23
64;-0.295156;-3.2044;0.00173312;0.00020649;0.00401224;26
64;1.01216;-2.73905;0.00182986;-0.000437417;0.00316137;25
64;-0.927733;-2.28611;0.001767;0.000277115;0.00251406;24
64;-1.10551;-1.39262;0.00171001;0.000128249;0.00187685;21
64;1.03325;-1.30711;0.00168758;-0.000100229;0.00184235;23
65;-0.29384;-3.10289;0.00172594;0.000188044;0.00376607;26
65;1.00302;-2.60475;0.00180965;-0.00038344;0.00294189;25
65;-0.938502;-2.14001;0.00175367;0.0002426;0.00236416;24
65;-1.11445;-1.25175;0.00169904;0.000108543;0.00182177;21
65;1.03265;-1.16717;0.00167777;-8.36742e-05;0.00179325;23
66;-0.297062;-2.97548;0.0017178;0.000169143;0.0034882;26
66;1.00817;-2.45571;0.00179257;-0.00033589;0.00273117;25
66;-0.954545;-2.00523;0.00174305;0.000215261;0.0022448;24
66;-1.13335;-1.0936;0.00168848;8.99063e-05;0.00177104;21
66;1.02821;-0.99638;0.00166644;-6.59766e-05;0.00174442;23
67;1.05722;-3.82699;0.00203032;-0.00108918;0.00624953;27
67;-0.301743;-2.79945;0.00170705;0.000145407;0.00315554;26
67;1.00652;-2.29634;0.00177363;-0.000287703;0.00253596;25
67;-0.952135;-1.83183;0.00172604;0.000178395;0.00211233;24
67;-1.12763;-0.920934;0.00167492;7.01147e-05;0.00172676;21
68;-0.302229;-2.66488;0.00169895;0.000127857;0.00293675;26
68;1.0116;-2.15034;0.00175878;-0.000250459;0.00238307;25
68;-0.96104;-1.69011;0.00171485;0.000154117;0.00202176;24
69;-0.176652;-3.54651;0.00174355;0.000174856;0.00500673;28
69;-0.302829;-2.53982;0.0016918;0.000113261;0.00275804;26
69;1.01062;-2.01621;0.00174479;-0.00021812;0.00226073;25
69;-0.954225;-1.54837;0.00170211;0.000129863;0.00194371;24
70;-0.178404;-3.42627;0.00173546;0.00016016;0.00462036;28
70;1.0797;-3.43844;0.00196686;-0.000838081;0.00484149;27
70;-0.317095;-2.37816;0.00168415;0.000100644;0.00255874;26
70;-1.67765;-2.2692;0.00200706;0.000548105;0.00259261;29
70;1.00979;-1.84212;0.00172798;-0.000181225;0.0021256;25
70;-0.971507;-1.38101;0.00169141;0.00010846;0.00186756;24
71;-0.18373;-3.24086;0.00172372;0.000140508;0.00409434;28
71;1.0727;-3.24854;0.00192978;-0.000717574;0.00428722;27
71;-0.322266;-2.21078;0.00167596;8.61104e-05;0.0023834;26
71;-1.69542;-2.11449;0.00197619;0.000479101;0.00242268;29
71;1.01479;-1.68532;0.00171489;-0.000153409;0.00202418;25
71;-0.978287;-1.23277;0.00168148;9.0693e-05;0.00181156;24
72;-0.190688;-3.10441;0.00171571;0.000128438;0.00375787;28
72;1.07597;-3.10867;0.00190736;-0.000643263;0.0039326;27
72;-0.316221;-2.05933;0.00166834;7.21261e-05;0.00224843;26
72;-1.68788;-1.95472;0.00193592;0.000406444;0.0022697;29
72;1.01953;-1.51667;0.0017017;-0.000127114;0.00193307;25
72;-0.971684;-1.07255;0.00167017;7.26918e-05;0.00176169;24
73;-0.20945;-2.94658;0.00170763;0.000120199;0.0034193;28
73;1.03917;-2.94547;0.001868;-0.000539521;0.00355881;27
73;-0.338067;-1.88705;0.00166197;6.38444e-05;0.0021199;26
73;-1.71346;-1.7893;0.00190852;0.000349002;0.00213885;29
73;0.995735;-1.35622;0.00168673;-0.000101717;0.00186051;25
73;-0.985037;-0.887885;0.00166012;5.68083e-05;0.00171701;24
74;0.976151;-2.8239;0.00183049;-0.000452068;0.00330602;27
74;-0.288108;-2.79976;0.00170573;0.000139319;0.00315453;28
74;-0.399488;-1.74442;0.00165946;6.41231e-05;0.00203104;26
74;-1.76286;-1.60538;0.00188567;0.000296454;0.00201965;29
74;0.965865;-1.22466;0.00167472;-8.29374e-05;0.00181065;25
75;0.939174;-2.7107;0.00180553;-0.000390997;0.00309932;27
75;-0.341699;-2.66382;0.00170272;0.000143502;0.00293912;28
75;-0.432183;-1.58808;0.00165477;5.79429e-05;0.00194732;26
75;0.927443;-1.08776;0.00166304;-6.57965e-05;0.00176704;25
76;0.918625;-2.60452;0.0017877;-0.00034595;0.00292709;27
76;-0.366339;-2.53785;0.00169758;0.000135667;0.0027609;28
76;-0.457325;-1.44715;0.00165045;5.18696e-05;0.00188327;26
76;0.914967;-0.929844;0.00165368;-5.18752e-05;0.00172659;25
77;0.894128;-2.43303;0.00176343;-0.000285309;0.00268501;27
77;-0.389843;-2.37552;0.00169035;0.000122615;0.00256084;28
77;-0.4819;-1.28662;0.00164551;4.48451e-05;0.00182178;26
78;-0.513435;-3.58691;0.00180576;0.000472795;0.00518859;30
78;0.884962;-2.27704;0.00174608;-0.00024216;0.0024995;27
78;-0.399889;-2.22761;0.00168301;0.000108113;0.00240408;28
78;-0.489801;-1.13519;0.00164036;3.7465e-05;0.00177351;26
79;-0.538428;-3.46363;0.00179961;0.000449421;0.00478577;30
79;0.889046;-2.13399;0.00173359;-0.000210902;0.00235458;27
79;-0.414871;-2.09152;0.00167705;9.7269e-05;0.00227972;28
79;-0.496582;-0.983781;0.0016355;3.08906e-05;0.0017337;26
80;1.01156;-3.51526;0.00194961;-0.000826442;0.00506818;31
80;-0.551118;-3.27327;0.00178385;0.000394005;0.00423312;30
80;0.853285;-1.98577;0.00171512;-0.000172186;0.00222202;27
80;-0.428865;-1.93198;0.0016701;8.47309e-05;0.00215457;28
81;1.00887;-3.39539;0.001928;-0.000751776;0.00468782;31
81;-0.575994;-3.13291;0.00177591;0.000365663;0.00388148;30
81;0.849378;-1.83328;0.00170281;-0.000145387;0.00210857;27
81;-0.451708;-1.75633;0.00166339;7.34881e-05;0.00203955;28
82;-0.574521;-3.71835;0.00183657;0.000581688;0.00568056;32
82;0.989118;-3.24487;0.00189577;-0.000653114;0.00425444;31
82;-0.604946;-3.03362;0.00177273;0.000352471;0.00365953;30
82;0.846959;-1.67993;0.00169157;-0.000122171;0.00201208;27
82;-0.470129;-1.61261;0.00165814;6.49145e-05;0.00196046;28
83;-0.575222;-3.54515;0.0018177;0.000510638;0.00505832;32
83;0.9786;-3.07191;0.00186587;-0.000560301;0.00382162;31
83;-0.61639;-2.84965;0.00175782;0.000305193;0.0032898;30
83;0.837776;-1.50234;0.00167899;-9.81371e-05;0.00191901;27
83;-0.468398;-1.43442;0.00165055;5.23286e-05;0.0018781;28
84;-0.614902;-3.4241;0.00181544;0.000495554;0.00467887;32
84;0.977223;-2.94392;0.00184718;-0.000502179;0.00354152;31
84;-0.6461;-2.70847;0.0017508;0.000281466;0.00304864;30
84;0.83373;-1.35621;0.00166992;-8.17283e-05;0.00185574;27
84;-0.4819;-1.28662;0.00164551;4.48451e-05;0.00182178;28
85;0.942053;-3.63757;0.00193946;-0.000837597;0.00547158;33
85;0.953668;-2.76633;0.00181645;-0.000418284;0.00319743;31
85;-0.642359;-2.55319;0.0017365;0.000241781;0.00281295;30
85;0.828452;-1.1938;0.00166064;-6.59757e-05;0.00179737;27
85;-0.499488;-1.12504;0.00164044;3.77091e-05;0.00177065;28
86;0.941347;-3.55245;0.00192533;-0.000785344;0.00517189;33
86;-0.620135;-3.16667;0.00178946;0.000404829;0.00397187;32
86;0.960747;-2.65701;0.00180475;-0.000382409;0.00301574;31
86;-0.663106;-2.43259;0.00172994;0.000222467;0.0026557;30
86;0.815981;-1.05072;0.00165263;-5.34745e-05;0.00175497;27
86;-0.496582;-0.983781;0.0016355;3.08906e-05;0.0017337;28
87;0.931864;-3.43038;0.00190232;-0.000707484;0.00477262;33
87;-0.634914;-3.03323;0.00177941;0.000369842;0.0036642;32
87;0.960683;-2.52881;0.00178937;-0.000339811;0.00282355;31
87;-0.677907;-2.29824;0.00172143;0.000199392;0.00250019;30
87;0.815093;-0.898233;0.00164566;-4.3017e-05;0.00171828;27
88;-0.576853;-3.67372;0.00183226;0.000564803;0.00551272;34
88;0.923008;-3.27824;0.00187631;-0.000621009;0.00432703;33
88;-0.650566;-2.87839;0.00176763;0.000330815;0.00334966;32
88;0.947713;-2.38634;0.00177027;-0.000292179;0.00263409;31
88;-0.676819;-2.13508;0.00170874;0.000168597;0.00233591;30
89;-0.583664;-3.54518;0.00182003;0.00051791;0.00506018;34
89;0.939195;-3.17209;0.00186673;-0.000581048;0.004053;33
89;-0.656841;-2.76314;0.00175796;0.000301039;0.0031418;32
89;0.955095;-2.25445;0.00175791;-0.000259295;0.00248337;31
89;-0.691671;-2.00367;0.00170125;0.000150364;0.00222353;30
90;-0.614902;-3.4241;0.00181544;0.000495554;0.00467887;34
90;0.907557;-3.03695;0.00183778;-0.000499734;0.00372543;33
90;-0.679313;-2.60231;0.00174755;0.000268489;0.00288865;32
90;0.944088;-2.11292;0.00174165;-0.000221835;0.00234034;31
